Approved symbol	Approved name	Locus type
MTCO1P29	MT-CO1 pseudogene 29	pseudogene
MTCO1P30	MT-CO1 pseudogene 30	pseudogene
MTCO1P31	MT-CO1 pseudogene 31	pseudogene
MTCO1P32	MT-CO1 pseudogene 32	pseudogene
MTCO1P33	MT-CO1 pseudogene 33	pseudogene
MTCO1P34	MT-CO1 pseudogene 34	pseudogene
MTCO1P35	MT-CO1 pseudogene 35	pseudogene
MTCO1P36	MT-CO1 pseudogene 36	pseudogene
MTCO1P37	MT-CO1 pseudogene 37	pseudogene
MTCO1P38	MT-CO1 pseudogene 38	pseudogene
MTCO1P39	MT-CO1 pseudogene 39	pseudogene
MTCO1P40	MT-CO1 pseudogene 40	pseudogene
MTCO1P41	MT-CO1 pseudogene 41	pseudogene
MTCO1P42	MT-CO1 pseudogene 42	pseudogene
MTCO1P43	MT-CO1 pseudogene 43	pseudogene
MTCO1P44	MT-CO1 pseudogene 44	pseudogene
MTCO1P45	MT-CO1 pseudogene 45	pseudogene
MTCO1P46	MT-CO1 pseudogene 46	pseudogene
MTCO1P47	MT-CO1 pseudogene 47	pseudogene
MTCO1P48	MT-CO1 pseudogene 48	pseudogene
MTCO1P49	MT-CO1 pseudogene 49	pseudogene
MTCO1P50	MT-CO1 pseudogene 50	pseudogene
MTCO1P51	MT-CO1 pseudogene 51	pseudogene
MTCO1P52	MT-CO1 pseudogene 52	pseudogene
MTCO1P53	MT-CO1 pseudogene 53	pseudogene
MTCO1P54	MT-CO1 pseudogene 54	pseudogene
MTCO1P55	MT-CO1 pseudogene 55	pseudogene
MTCO1P56	MT-CO1 pseudogene 56	pseudogene
MTCO1P57	MT-CO1 pseudogene 57	pseudogene
MTCO2P1	MT-CO2 pseudogene 1	pseudogene
MTCO2P2	MT-CO2 pseudogene 2	pseudogene
MTCO2P3	MT-CO2 pseudogene 3	pseudogene
MTCO2P4	MT-CO2 pseudogene 4	pseudogene
MTCO2P5	MT-CO2 pseudogene 5	pseudogene
MTCO2P6	MT-CO2 pseudogene 6	pseudogene
MTCO2P7	MT-CO2 pseudogene 7	pseudogene
MTCO2P8	MT-CO2 pseudogene 8	pseudogene
MTCO2P9	MT-CO2 pseudogene 9	pseudogene
MTCO2P10	MT-CO2 pseudogene 10	pseudogene
MTCO2P11	MT-CO2 pseudogene 11	pseudogene
MTCO2P12	MT-CO2 pseudogene 12	pseudogene
MTCO2P13	MT-CO2 pseudogene 13	pseudogene
MTCO2P14	MT-CO2 pseudogene 14	pseudogene
MTCO2P15	MT-CO2 pseudogene 15	pseudogene
MTCO2P16	MT-CO2 pseudogene 16	pseudogene
MTCO2P17	MT-CO2 pseudogene 17	pseudogene
MTCO2P18	MT-CO2 pseudogene 18	pseudogene
MTCO2P19	MT-CO2 pseudogene 19	pseudogene
MTCO2P20	MT-CO2 pseudogene 20	pseudogene
MTCO2P21	MT-CO2 pseudogene 21	pseudogene
MTCO2P22	MT-CO2 pseudogene 22	pseudogene
MTCO2P23	MT-CO2 pseudogene 23	pseudogene
MTCO2P24	MT-CO2 pseudogene 24	pseudogene
MTCO2P25	MT-CO2 pseudogene 25	pseudogene
MTCO2P26	MT-CO2 pseudogene 26	pseudogene
MTCO2P27	MT-CO2 pseudogene 27	pseudogene
MTCO2P28	MT-CO2 pseudogene 28	pseudogene
MTCO2P29	MT-CO2 pseudogene 29	pseudogene
MTCO2P30	MT-CO2 pseudogene 30	pseudogene
MTCO2P31	MT-CO2 pseudogene 31	pseudogene
MTCO2P32	MT-CO2 pseudogene 32	pseudogene
MTCO2P33	MT-CO2 pseudogene 33	pseudogene
MTCO2P34	MT-CO2 pseudogene 34	pseudogene
MTCO3P1	MT-CO3 pseudogene 1	pseudogene
MTCO3P2	MT-CO3 pseudogene 2	pseudogene
MTCO3P3	MT-CO3 pseudogene 3	pseudogene
MTCO3P4	MT-CO3 pseudogene 4	pseudogene
MTCO3P5	MT-CO3 pseudogene 5	pseudogene
MTCO3P6	MT-CO3 pseudogene 6	pseudogene
MTCO3P7	MT-CO3 pseudogene 7	pseudogene
MTCO3P8	MT-CO3 pseudogene 8	pseudogene
MTCO3P9	MT-CO3 pseudogene 9	pseudogene
MTCO3P10	MT-CO3 pseudogene 10	pseudogene
MTCO3P11	MT-CO3 pseudogene 11	pseudogene
MTCO3P12	MT-CO3 pseudogene 12	pseudogene
MTCO3P13	MT-CO3 pseudogene 13	pseudogene
MTCO3P14	MT-CO3 pseudogene 14	pseudogene
MTCO3P15	MT-CO3 pseudogene 15	pseudogene
MTCO3P16	MT-CO3 pseudogene 16	pseudogene
MTCO3P17	MT-CO3 pseudogene 17	pseudogene
MTCO3P18	MT-CO3 pseudogene 18	pseudogene
MTCO3P19	MT-CO3 pseudogene 19	pseudogene
MTCO3P20	MT-CO3 pseudogene 20	pseudogene
MTCO3P21	MT-CO3 pseudogene 21	pseudogene
MTCO3P22	MT-CO3 pseudogene 22	pseudogene
MTCO3P23	MT-CO3 pseudogene 23	pseudogene
MTCO3P24	MT-CO3 pseudogene 24	pseudogene
MTCO3P25	MT-CO3 pseudogene 25	pseudogene
MTCO3P26	MT-CO3 pseudogene 26	pseudogene
MTCO3P27	MT-CO3 pseudogene 27	pseudogene
MTCO3P28	MT-CO3 pseudogene 28	pseudogene
MTCO3P29	MT-CO3 pseudogene 29	pseudogene
MTCO3P30	MT-CO3 pseudogene 30	pseudogene
MTCO3P31	MT-CO3 pseudogene 31	pseudogene
MTCO3P32	MT-CO3 pseudogene 32	pseudogene
MTCO3P33	MT-CO3 pseudogene 33	pseudogene
MTCO3P34	MT-CO3 pseudogene 34	pseudogene
MTCO3P35	MT-CO3 pseudogene 35	pseudogene
MTCO3P36	MT-CO3 pseudogene 36	pseudogene
MTCO3P37	MT-CO3 pseudogene 37	pseudogene
MTCO3P38	MT-CO3 pseudogene 38	pseudogene
MTCO3P39	MT-CO3 pseudogene 39	pseudogene
MTCO3P40	MT-CO3 pseudogene 40	pseudogene
MTCO3P41	MT-CO3 pseudogene 41	pseudogene
MTCO3P42	MT-CO3 pseudogene 42	pseudogene
MTCO3P43	MT-CO3 pseudogene 43	pseudogene
MTCO3P44	MT-CO3 pseudogene 44	pseudogene
MTCO3P45	MT-CO3 pseudogene 45	pseudogene
MTCO3P46	MT-CO3 pseudogene 46	pseudogene
MTCP1	mature T cell proliferation 1	gene with protein product
MTCYBP1	MT-CYB pseudogene 1	pseudogene
MTCYBP2	MT-CYB pseudogene 2	pseudogene
MTCYBP3	MT-CYB pseudogene 3	pseudogene
MTCYBP4	MT-CYB pseudogene 4	pseudogene
MTCYBP5	MT-CYB pseudogene 5	pseudogene
MTCYBP6	MT-CYB pseudogene 6	pseudogene
MTCYBP7	MT-CYB pseudogene 7	pseudogene
MTCYBP8	MT-CYB pseudogene 8	pseudogene
MTCYBP9	MT-CYB pseudogene 9	pseudogene
MTCYBP10	MT-CYB pseudogene 10	pseudogene
MTCYBP11	MT-CYB pseudogene 11	pseudogene
MTCYBP12	MT-CYB pseudogene 12	pseudogene
MTCYBP13	MT-CYB pseudogene 13	pseudogene
MTCYBP14	MT-CYB pseudogene 14	pseudogene
MTCYBP15	MT-CYB pseudogene 15	pseudogene
MTCYBP16	MT-CYB pseudogene 16	pseudogene
MTCYBP17	MT-CYB pseudogene 17	pseudogene
MTCYBP18	MT-CYB pseudogene 18	pseudogene
MTCYBP19	MT-CYB pseudogene 19	pseudogene
MTCYBP20	MT-CYB pseudogene 20	pseudogene
MTCYBP21	MT-CYB pseudogene 21	pseudogene
MTCYBP22	MT-CYB pseudogene 22	pseudogene
MTCYBP23	MT-CYB pseudogene 23	pseudogene
MTCYBP24	MT-CYB pseudogene 24	pseudogene
MTCYBP25	MT-CYB pseudogene 25	pseudogene
MTCYBP26	MT-CYB pseudogene 26	pseudogene
MTCYBP27	MT-CYB pseudogene 27	pseudogene
MTCYBP28	MT-CYB pseudogene 28	pseudogene
MTCYBP29	MT-CYB pseudogene 29	pseudogene
MTCYBP30	MT-CYB pseudogene 30	pseudogene
MTCYBP31	MT-CYB pseudogene 31	pseudogene
MTCYBP32	MT-CYB pseudogene 32	pseudogene
MTCYBP33	MT-CYB pseudogene 33	pseudogene
MTCYBP34	MT-CYB pseudogene 34	pseudogene
MTCYBP35	MT-CYB pseudogene 35	pseudogene
MTCYBP36	MT-CYB pseudogene 36	pseudogene
MTCYBP37	MT-CYB pseudogene 37	pseudogene
MTCYBP38	MT-CYB pseudogene 38	pseudogene
MTCYBP39	MT-CYB pseudogene 39	pseudogene
MTCYBP40	MT-CYB pseudogene 40	pseudogene
MTCYBP41	MT-CYB pseudogene 41	pseudogene
MTCYBP42	MT-CYB pseudogene 42	pseudogene
MTCYBP43	MT-CYB pseudogene 43	pseudogene
MTCYBP44	MT-CYB pseudogene 44	pseudogene
MTCYBP45	MT-CYB pseudogene 45	pseudogene
MTDH	metadherin	gene with protein product
MTDHP1	metadherin pseudogene 1	pseudogene
MTDHP2	metadherin pseudogene 2	pseudogene
MTDHP3	metadherin pseudogene 3	pseudogene
MTDHP4	metadherin pseudogene 4	pseudogene
MTDHP5	metadherin pseudogene 5	pseudogene
MTERF1	mitochondrial transcription termination factor 1	gene with protein product
MTERF2	mitochondrial transcription termination factor 2	gene with protein product
MTERF3	mitochondrial transcription termination factor 3	gene with protein product
MTERF4	mitochondrial transcription termination factor 4	gene with protein product
MTF1	metal regulatory transcription factor 1	gene with protein product
MTF2	metal response element binding transcription factor 2	gene with protein product
MTFMT	mitochondrial methionyl-tRNA formyltransferase	gene with protein product
MTFP1	mitochondrial fission process 1	gene with protein product
MTFR1	mitochondrial fission regulator 1	gene with protein product
MTFR1L	mitochondrial fission regulator 1 like	gene with protein product
MTFR2	mitochondrial fission regulator 2	gene with protein product
MTG1	mitochondrial ribosome associated GTPase 1	gene with protein product
MTG2	mitochondrial ribosome associated GTPase 2	gene with protein product
MTH1	symbol withdrawn, see [HGNC:8048](/data/gene-symbol-report/#!/hgnc_id/HGNC:8048)	unknown
MTHFC	symbol withdrawn, see [HGNC:7432](/data/gene-symbol-report/#!/hgnc_id/HGNC:7432)	unknown
MTHFD	symbol withdrawn, see [HGNC:7432](/data/gene-symbol-report/#!/hgnc_id/HGNC:7432)	unknown
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	gene with protein product
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	gene with protein product
MTHFD1P1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1	pseudogene
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	gene with protein product
MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	gene with protein product
MTHFD2P1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1	pseudogene
MTHFD2P2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 2	pseudogene
MTHFD2P3	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 3	pseudogene
MTHFD2P4	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 4	pseudogene
MTHFD2P5	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 5	pseudogene
MTHFD2P6	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 6	pseudogene
MTHFD2P7	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 7	pseudogene
MTHFDP1	symbol withdrawn, see [HGNC:7433](/data/gene-symbol-report/#!/hgnc_id/HGNC:7433)	unknown
MTHFR	methylenetetrahydrofolate reductase	gene with protein product
MTHFS	methenyltetrahydrofolate synthetase	gene with protein product
MTHFSD	methenyltetrahydrofolate synthetase domain containing	gene with protein product
MTIF2	mitochondrial translational initiation factor 2	gene with protein product
MTIF2P1	mitochondrial translational initiation factor 2 pseudogene 1	pseudogene
MTIF3	mitochondrial translational initiation factor 3	gene with protein product
MTL3P	metallothionein-like 3, pseudogene	pseudogene
MTL4	symbol withdrawn, see [HGNC:16120](/data/gene-symbol-report/#!/hgnc_id/HGNC:16120)	unknown
MTLN	mitoregulin	gene with protein product
MTM1	myotubularin 1	gene with protein product
MTMR1	myotubularin related protein 1	gene with protein product
MTMR2	myotubularin related protein 2	gene with protein product
MTMR3	myotubularin related protein 3	gene with protein product
MTMR4	myotubularin related protein 4	gene with protein product
MTMR6	myotubularin related protein 6	gene with protein product
MTMR7	myotubularin related protein 7	gene with protein product
MTMR8	myotubularin related protein 8	gene with protein product
MTMR9	myotubularin related protein 9	gene with protein product
MTMR9LP	myotubularin related protein 9 like, pseudogene	pseudogene
MTMR10	myotubularin related protein 10	gene with protein product
MTMR11	myotubularin related protein 11	gene with protein product
MTMR12	myotubularin related protein 12	gene with protein product
MTMR14	myotubularin related protein 14	gene with protein product
MTND1P1	MT-ND1 pseudogene 1	pseudogene
MTND1P2	MT-ND1 pseudogene 2	pseudogene
MTND1P3	MT-ND1 pseudogene 3	pseudogene
MTND1P4	MT-ND1 pseudogene 4	pseudogene
MTND1P5	MT-ND1 pseudogene 5	pseudogene
MTND1P6	MT-ND1 pseudogene 6	pseudogene
MTND1P7	MT-ND1 pseudogene 7	pseudogene
MTND1P8	MT-ND1 pseudogene 8	pseudogene
MTND1P9	MT-ND1 pseudogene 9	pseudogene
MTND1P10	MT-ND1 pseudogene 10	pseudogene
MTND1P11	MT-ND1 pseudogene 11	pseudogene
MTND1P12	MT-ND1 pseudogene 12	pseudogene
MTND1P13	MT-ND1 pseudogene 13	pseudogene
MTND1P14	MT-ND1 pseudogene 14	pseudogene
MTND1P15	MT-ND1 pseudogene 15	pseudogene
MTND1P16	MT-ND1 pseudogene 16	pseudogene
MTND1P17	MT-ND1 pseudogene 17	pseudogene
MTND1P18	MT-ND1 pseudogene 18	pseudogene
MTND1P19	MT-ND1 pseudogene 19	pseudogene
MTND1P20	MT-ND1 pseudogene 20	pseudogene
MTND1P21	MT-ND1 pseudogene 21	pseudogene
MTND1P22	MT-ND1 pseudogene 22	pseudogene
MTND1P23	MT-ND1 pseudogene 23	pseudogene
MTND1P24	MT-ND1 pseudogene 24	pseudogene
MTND1P25	MT-ND1 pseudogene 25	pseudogene
MTND1P26	MT-ND1 pseudogene 26	pseudogene
MTND1P27	MT-ND1 pseudogene 27	pseudogene
MTND1P28	MT-ND1 pseudogene 28	pseudogene
MTND1P29	MT-ND1 pseudogene 29	pseudogene
MTND1P30	MT-ND1 pseudogene 30	pseudogene
MTND1P31	MT-ND1 pseudogene 31	pseudogene
MTND1P32	MT-ND1 pseudogene 32	pseudogene
MTND1P33	MT-ND1 pseudogene 33	pseudogene
MTND1P34	MT-ND1 pseudogene 34	pseudogene
MTND1P35	MT-ND1 pseudogene 35	pseudogene
MTND1P36	MT-ND1 pseudogene 36	pseudogene
MTND1P37	MT-ND1 pseudogene 37	pseudogene
MTND2P1	MT-ND2 pseudogene 1	pseudogene
MTND2P2	MT-ND2 pseudogene 2	pseudogene
MTND2P3	MT-ND2 pseudogene 3	pseudogene
MTND2P4	MT-ND2 pseudogene 4	pseudogene
MTND2P5	MT-ND2 pseudogene 5	pseudogene
MTND2P6	MT-ND2 pseudogene 6	pseudogene
MTND2P7	MT-ND2 pseudogene 7	pseudogene
MTND2P8	MT-ND2 pseudogene 8	pseudogene
MTND2P9	MT-ND2 pseudogene 9	pseudogene
MTND2P10	MT-ND2 pseudogene 10	pseudogene
MTND2P11	MT-ND2 pseudogene 11	pseudogene
MTND2P12	MT-ND2 pseudogene 12	pseudogene
MTND2P13	MT-ND2 pseudogene 13	pseudogene
MTND2P14	MT-ND2 pseudogene 14	pseudogene
MTND2P15	MT-ND2 pseudogene 15	pseudogene
MTND2P16	MT-ND2 pseudogene 16	pseudogene
MTND2P17	MT-ND2 pseudogene 17	pseudogene
MTND2P18	MT-ND2 pseudogene 18	pseudogene
MTND2P19	MT-ND2 pseudogene 19	pseudogene
MTND2P20	MT-ND2 pseudogene 20	pseudogene
MTND2P21	MT-ND2 pseudogene 21	pseudogene
MTND2P22	MT-ND2 pseudogene 22	pseudogene
MTND2P23	MT-ND2 pseudogene 23	pseudogene
MTND2P24	MT-ND2 pseudogene 24	pseudogene
MTND2P25	MT-ND2 pseudogene 25	pseudogene
MTND2P26	MT-ND2 pseudogene 26	pseudogene
MTND2P27	MT-ND2 pseudogene 27	pseudogene
MTND2P28	MT-ND2 pseudogene 28	pseudogene
MTND2P29	MT-ND2 pseudogene 29	pseudogene
MTND2P30	MT-ND2 pseudogene 30	pseudogene
MTND2P31	MT-ND2 pseudogene 31	pseudogene
MTND2P32	MT-ND2 pseudogene 32	pseudogene
MTND2P33	MT-ND2 pseudogene 33	pseudogene
MTND2P34	MT-ND2 pseudogene 34	pseudogene
MTND2P35	MT-ND2 pseudogene 35	pseudogene
MTND2P36	MT-ND2 pseudogene 36	pseudogene
MTND2P37	MT-ND2 pseudogene 37	pseudogene
MTND2P38	MT-ND2 pseudogene 38	pseudogene
MTND2P39	MT-ND2 pseudogene 39	pseudogene
MTND2P40	MT-ND2 pseudogene 40	pseudogene
MTND2P41	MT-ND2 pseudogene 41	pseudogene
MTND3P1	MT-ND3 pseudogene 1	pseudogene
MTND3P2	MT-ND3 pseudogene 2	pseudogene
MTND3P3	MT-ND3 pseudogene 3	pseudogene
MTND3P4	MT-ND3 pseudogene 4	pseudogene
MTND3P5	MT-ND3 pseudogene 5	pseudogene
MTND3P6	MT-ND3 pseudogene 6	pseudogene
MTND3P7	MT-ND3 pseudogene 7	pseudogene
MTND3P8	MT-ND3 pseudogene 8	pseudogene
MTND3P9	MT-ND3 pseudogene 9	pseudogene
MTND3P10	MT-ND3 pseudogene 10	pseudogene
MTND3P11	MT-ND3 pseudogene 11	pseudogene
MTND3P12	MT-ND3 pseudogene 12	pseudogene
MTND3P13	MT-ND3 pseudogene 13	pseudogene
MTND3P14	MT-ND3 pseudogene 14	pseudogene
MTND3P15	MT-ND3 pseudogene 15	pseudogene
MTND3P16	MT-ND3 pseudogene 16	pseudogene
MTND3P17	MT-ND3 pseudogene 17	pseudogene
MTND3P18	MT-ND3 pseudogene 18	pseudogene
MTND3P19	MT-ND3 pseudogene 19	pseudogene
MTND3P20	MT-ND3 pseudogene 20	pseudogene
MTND3P21	MT-ND3 pseudogene 21	pseudogene
MTND3P22	MT-ND3 pseudogene 22	pseudogene
MTND3P23	MT-ND3 pseudogene 23	pseudogene
MTND3P24	MT-ND3 pseudogene 24	pseudogene
MTND3P25	MT-ND3 pseudogene 25	pseudogene
MTND4LP1	MT-ND4L pseudogene 1	pseudogene
MTND4LP2	MT-ND4L pseudogene 2	pseudogene
MTND4LP3	MT-ND4L pseudogene 3	pseudogene
MTND4LP4	MT-ND4L pseudogene 4	pseudogene
MTND4LP5	MT-ND4L pseudogene 5	pseudogene
MTND4LP6	MT-ND4L pseudogene 6	pseudogene
MTND4LP7	MT-ND4L pseudogene 7	pseudogene
MTND4LP8	MT-ND4L pseudogene 8	pseudogene
MTND4LP9	MT-ND4L pseudogene 9	pseudogene
MTND4LP10	MT-ND4L pseudogene 10	pseudogene
MTND4LP11	MT-ND4L pseudogene 11	pseudogene
MTND4LP12	MT-ND4L pseudogene 12	pseudogene
MTND4LP13	MT-ND4L pseudogene 13	pseudogene
MTND4LP14	MT-ND4L pseudogene 14	pseudogene
MTND4LP15	MT-ND4L pseudogene 15	pseudogene
MTND4LP16	MT-ND4L pseudogene 16	pseudogene
MTND4LP17	MT-ND4L pseudogene 17	pseudogene
MTND4LP18	MT-ND4L pseudogene 18	pseudogene
MTND4LP19	MT-ND4L pseudogene 19	pseudogene
MTND4LP20	MT-ND4L pseudogene 20	pseudogene
MTND4LP21	MT-ND4L pseudogene 21	pseudogene
MTND4LP22	MT-ND4L pseudogene 22	pseudogene
MTND4LP23	MT-ND4L pseudogene 23	pseudogene
MTND4LP24	MT-ND4L pseudogene 24	pseudogene
MTND4LP25	MT-ND4L pseudogene 25	pseudogene
MTND4LP26	MT-ND4L pseudogene 26	pseudogene
MTND4LP27	MT-ND4L pseudogene 27	pseudogene
MTND4LP28	MT-ND4L pseudogene 28	pseudogene
MTND4LP29	MT-ND4L pseudogene 29	pseudogene
MTND4LP30	MT-ND4L pseudogene 30	pseudogene
MTND4LP31	MT-ND4L pseudogene 31	pseudogene
MTND4LP32	MT-ND4L pseudogene 32	pseudogene
MTND4P1	MT-ND4 pseudogene 1	pseudogene
MTND4P2	MT-ND4 pseudogene 2	pseudogene
MTND4P3	MT-ND4 pseudogene 3	pseudogene
MTND4P4	MT-ND4 pseudogene 4	pseudogene
MTND4P5	MT-ND4 pseudogene 5	pseudogene
MTND4P6	MT-ND4 pseudogene 6	pseudogene
MTND4P7	MT-ND4 pseudogene 7	pseudogene
MTND4P8	MT-ND4 pseudogene 8	pseudogene
MTND4P9	MT-ND4 pseudogene 9	pseudogene
MTND4P10	MT-ND4 pseudogene 10	pseudogene
MTND4P11	MT-ND4 pseudogene 11	pseudogene
MTND4P12	MT-ND4 pseudogene 12	pseudogene
MTND4P13	MT-ND4 pseudogene 13	pseudogene
MTND4P14	MT-ND4 pseudogene 14	pseudogene
MTND4P15	MT-ND4 pseudogene 15	pseudogene
MTND4P16	MT-ND4 pseudogene 16	pseudogene
MTND4P17	MT-ND4 pseudogene 17	pseudogene
MTND4P18	MT-ND4 pseudogene 18	pseudogene
MTND4P19	MT-ND4 pseudogene 19	pseudogene
MTND4P20	MT-ND4 pseudogene 20	pseudogene
MTND4P21	MT-ND4 pseudogene 21	pseudogene
MTND4P22	MT-ND4 pseudogene 22	pseudogene
MTND4P23	MT-ND4 pseudogene 23	pseudogene
MTND4P24	MT-ND4 pseudogene 24	pseudogene
MTND4P25	MT-ND4 pseudogene 25	pseudogene
MTND4P26	MT-ND4 pseudogene 26	pseudogene
MTND4P27	MT-ND4 pseudogene 27	pseudogene
MTND4P28	MT-ND4 pseudogene 28	pseudogene
MTND4P29	MT-ND4 pseudogene 29	pseudogene
MTND4P30	MT-ND4 pseudogene 30	pseudogene
MTND4P31	MT-ND4 pseudogene 31	pseudogene
MTND4P32	MT-ND4 pseudogene 32	pseudogene
MTND4P33	MT-ND4 pseudogene 33	pseudogene
MTND4P34	MT-ND4 pseudogene 34	pseudogene
MTND4P35	MT-ND4 pseudogene 35	pseudogene
MTND4P36	MT-ND4 pseudogene 36	pseudogene
MTND4P37	MT-ND4 pseudogene 37	pseudogene
MTND4P38	MT-ND4 pseudogene 38	pseudogene
MTND4P39	MT-ND4 pseudogene 39	pseudogene
MTND4P40	MT-ND4 pseudogene 40	pseudogene
MTND4P41	MT-ND4 pseudogene 41	pseudogene
MTND5P1	MT-ND5 pseudogene 1	pseudogene
MTND5P2	MT-ND5 pseudogene 2	pseudogene
MTND5P3	MT-ND5 pseudogene 3	pseudogene
MTND5P4	MT-ND5 pseudogene 4	pseudogene
MTND5P5	MT-ND5 pseudogene 5	pseudogene
MTND5P6	MT-ND5 pseudogene 6	pseudogene
MTND5P7	MT-ND5 pseudogene 7	pseudogene
MTND5P8	MT-ND5 pseudogene 8	pseudogene
MTND5P9	MT-ND5 pseudogene 9	pseudogene
MTND5P10	MT-ND5 pseudogene 10	pseudogene
MTND5P11	MT-ND5 pseudogene 11	pseudogene
MTND5P12	MT-ND5 pseudogene 12	pseudogene
MTND5P13	MT-ND5 pseudogene 13	pseudogene
MTND5P14	MT-ND5 pseudogene 14	pseudogene
